City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,sandnessjoen,66.0217,12.6316,-0.91,93,75,2.57,NO,1707073061
83,sinabang,2.4803,96.3801,27.01,79,62,1.35,ID,1707073282
84,kodiak,57.79,-152.4072,-0.27,93,75,4.12,US,1707073018
85,puerto natales,-51.7236,-72.4875,25.25,38,75,15.95,CL,1707072968
86,vilyuchinsk,52.9306,158.4028,-12.82,77,97,4.11,RU,1707072987
87,song cau,13.45,109.2167,22.27,93,47,1.25,VN,1707073498
88,bure,10.7,37.0667,18.36,57,100,3.8,ET,1707073498
89,palu,-0.8917,119.8707,24.4,97,100,0.33,ID,1707073498
90,georgetown,5.4112,100.3354,26.84,83,20,2.24,MY,1707073002
91,brak,27.5496,14.2714,13.7,41,11,4.95,LY,1707073297
92,menongue,-14.6585,17.691,18.04,97,100,2.49,AO,1707073498
93,mar del plata,-38.0023,-57.5575,20.01,61,20,5.14,AR,1707072910
94,aden,12.7794,45.0367,25.66,73,86,5.34,YE,1707073210
95,sao felix do xingu,-6.6447,-51.995,27.85,81,65,1.63,BR,1707073498
96,zacatecas,23.0,-103.0,15.28,11,0,4.55,MX,1707073393
97,thinadhoo,0.5333,72.9333,28.33,78,92,6.69,MV,1707073498
98,takanabe,32.1333,131.5,10.94,98,100,4.21,JP,1707073499
99,ust-nera,64.5667,143.2,-29.44,97,98,1.88,RU,1707073011
100,dogonbadan,30.3586,50.7981,7.05,57,0,2.06,IR,1707073499
101,smithers,54.7804,-127.1743,-10.82,85,0,2.06,CA,1707073499
102,manistee,44.2445,-86.3242,3.6,81,0,4.12,US,1707073499
103,richards bay,-28.783,32.0377,23.99,84,67,3.25,ZA,1707073063
104,callao,-12.0667,-77.15,29.16,58,40,3.6,PE,1707072892
105,papatowai,-46.5619,169.4708,13.24,98,100,2.29,NZ,1707072990
106,tamanrasset,22.785,5.5228,11.83,17,0,4.92,DZ,1707073030
107,hays,30.0502,-98.0336,16.66,53,0,5.81,US,1707073428
108,lihue,21.9789,-159.3672,22.7,67,40,10.8,US,1707072984
109,kyren,51.6828,102.1408,-13.36,85,37,1.79,RU,1707073500
110,bemidji,47.4736,-94.8803,0.49,98,100,0.0,US,1707073500
111,i-n-salah,27.1935,2.4607,16.67,30,0,8.09,DZ,1707073322
112,kiraz,38.2306,28.2044,6.29,67,79,1.07,TR,1707073501
113,isafjordur,66.0755,-23.124,-2.98,74,100,5.66,IS,1707073015
114,ribeira grande,38.5167,-28.7,17.22,94,75,9.39,PT,1707072980
115,tulu bolo,8.6667,38.2167,16.54,72,100,3.48,ET,1707073501
116,pyt-yakh,60.7499,72.8582,-14.58,95,100,3.01,RU,1707073501
117,gamba,-2.65,10.0,26.95,85,100,2.74,GA,1707072986
118,fort bragg,35.139,-79.006,11.9,40,0,4.63,US,1707073052
119,zahedan,29.4963,60.8629,4.95,42,0,2.06,IR,1707073502
120,port mathurin,-19.6833,63.4167,26.21,72,69,6.99,MU,1707072989
121,alingsas,57.9303,12.5335,4.59,80,61,6.53,SE,1707073502
122,alofi,-19.0595,-169.9187,25.94,94,100,2.06,NU,1707073286
123,palmer,42.1584,-72.3287,4.47,40,0,4.63,US,1707073083
124,hamilton,39.1834,-84.5333,12.51,44,0,5.14,US,1707073020
125,kerikeri,-35.2268,173.9474,11.62,91,3,1.63,NZ,1707073033
126,shendi,16.6915,33.4341,22.17,16,38,7.37,SD,1707073503
127,muroto-misakicho,33.2833,134.15,9.86,81,100,10.43,JP,1707073088
128,taitung city,22.7583,121.1444,23.03,82,18,1.43,TW,1707073503
129,jaicos,-7.3592,-41.1378,37.81,22,75,3.85,BR,1707073503
130,gadzhiyevo,69.2551,33.3362,-11.73,84,99,7.16,RU,1707073012
131,kirensk,57.7853,108.1119,-17.07,99,100,1.14,RU,1707072999
132,cassilandia,-19.1133,-51.7342,26.76,61,87,2.34,BR,1707073504
133,hastings,50.8552,0.5729,10.13,44,100,10.66,GB,1707073504
134,goondiwindi,-28.55,150.3167,25.4,77,100,6.4,AU,1707073505
135,mahina,-17.5065,-149.489,27.87,74,40,2.57,PF,1707073505
136,chiri-yurt,43.0867,45.7406,0.48,61,43,1.85,RU,1707073506
137,whitehorse,60.7161,-135.0538,-26.57,69,75,1.54,CA,1707073033
138,port-gentil,-0.7193,8.7815,27.6,79,100,1.81,GA,1707073506
139,chichiriviche,10.9333,-68.2772,27.94,73,100,4.35,VE,1707073507
140,west island,-12.1568,96.8225,27.99,78,75,3.6,CC,1707072987
141,hovd,48.0056,91.6419,-19.67,92,100,0.77,MN,1707073293
142,nabire,-3.3667,135.4833,24.97,92,94,1.33,ID,1707073508
143,haiku-pauwela,20.9219,-156.3051,18.48,83,75,5.36,US,1707072980
